From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
xCBFE7B;x8BA8F3;sea;-1;5361;2327;5372;2326;;None
xAF68C8;x9699D4;sea;-1;5368;2315;5370;2310;;None
xA26E6B;xFC80EA;sea;-1;5339;2224;5351;2225;;None
xA7C67D;xF09A6E;sea;-1;3533;1750;3518;1740;;None
xF09A6E;xBCB4DB;sea;-1;3531;1716;3537;1707;;None
xBCB4DB;xE56BB0;sea;-1;3545;1675;3530;1672;;None
xE56BB0;xB19F88;sea;-1;3506;1642;3489;1636;;None
xDCD4FA;xAA719F;sea;-1;3586;1602;3611;1602;;None
xA96DC1;xDCD4FA;sea;-1;3549;1623;3549;1616;;None
x9F80E1;xD27F77;sea;-1;3358;1700;3358;1690;;None
xB4F6D7;xD3ED88;sea;-1;3448;1832;3448;1818;;None
xf585c1;xca8ddd;sea;-1;-1;-1;-1;-1;;None
x88a47a;xcac8ec;sea;-1;4299;994;4288;979;;None
x88a47a;x7e92c3;sea;-1;4309;1013;4320;1013;None
xcac8ec;xfec39b;sea;-1;-1;-1;-1;-1;;None
xb9f178;xfec39b;sea;-1;-1;-1;-1;-1;;None
xb9f178;xf5f8b3;sea;-1;-1;-1;-1;-1;;None
xC07299;xFBA0D8;sea;-1;6089;2454;6061;2448;;None
x85D470;xA4A2FD;sea;-1;5926;2301;5915;2313;;None
xB9B37B;xA1C379;sea;-1;5907;2271;5902;2278;;None
x6DCBEC;xA3728F;sea;-1;5614;1941;5625;1944;;None
xAF68CS;x9699D4;sea;-1;5367;2314;5369;2311;;None
xCBFE7B;xAF68CS;sea;-1;5362;2323;5364;2317;;None
xFC80EA;xA26E6B;sea;-1;5349;2225;5339;2225;;None
xAEADAD;x798DAD;sea;-1;5030;2102;5023;2102;;None
xB3FEA5;x8480B1;sea;-1;5587;1702;5587;1715;;None
xDE9DBC;x92F467;sea;-1;5345;1457;5353;1432;;None
xD0B094;xE890B4;sea;-1;5352;1387;5366;1355;;None
xC48683;xB7F389;sea;-1;2321;3398;2334;3402;;None
xDEFDE8;x76B7D0;sea;-1;2556;3134;2576;3142;;None
x8CCD8F;xA38290;sea;-1;2411;2862;2427;2856;;None
xAB9BF2;x83C2F2;sea;-1;2364;2929;2346;2938;;None
x70E777;xA0A7DA;sea;-1;2404;3001;2406;3015;;None
xAC8797;x9BB4DD;sea;-1;1938;2888;1954;2884;;None
xDF93A8;xBEB57C;sea;-1;1718;2669;1727;2664;;None
xC38BEA;xB59CD5;sea;-1;2510;1088;2520;1077;;None
xBE8F8A;x76EC85;sea;-1;2262;1044;2246;1046;;None
xB7FDD0;x68B58A;sea;-1;1776;835;1755;867;;None
x84BFEA;x906AF2;sea;-1;2053;341;2009;341;;None
xE7A386;x6CC5EB;sea;-1;4754;847;4749;841;;None
xDBD9A3;xB09D76;sea;-1;4653;835;4646;842;;None
xD9FC85;x89C88F;sea;-1;4599;890;4591;892;;None
xA5FCB0;x8B7380;sea;-1;4513;868;4535;850;;None
x73EDA3;xF6EF97;sea;-1;4547;629;4556;626;;None
x70C5A0;x79D47B;sea;-1;4446;679;4438;678;;None
x6C76AD;xF1D6C0;sea;-1;4400;691;4389;691;;None
xEFF885;x8CEDC9;sea;-1;4612;215;4640;145;;None
xB5D49C;x65689F;sea;-1;4672;157;4689;155;;None
x6BBABC;xC17099;sea;-1;4463;868;4466;859;;None
x6468F1;x7DA5A0;sea;-1;4475;1024;4468;1024;;None
xA0BF85;x73786E;sea;-1;4444;939;4455;939;;None
x73786E;xF5F0DD;sea;-1;4457;915;4465;912;;None
xBAFEEB8;x9B706D;sea;-1;4406;914;4412;912;;None
xBAFEB8;xC89565;sea;-1;4396;895;4393;888;;None
x9FB3E9;x8F879F;sea;-1;4414;855;4394;814;;None
x8992CD;x937DFB;sea;-1;3145;192;3137;205;;None
x937DFB;xA3B3B0;sea;-1;3130;215;3114;234;;None
xE9E9C3;xC1F6B8;sea;-1;3471;350;3475;331;;None
x93E0C1;xC283F3;sea;-1;3542;379;3551;371;;None
xC48BD3;x8F80EF;sea;-1;3578;353;3611;344;;None
x8F80EF;xB5E6C0;sea;-1;3616;343;3633;367;;None
x67BC88;xCBE56F;sea;-1;3708;420;3731;419;;None
xCBE56F;x85ABBC;sea;-1;3752;437;3785;437;;None
x909295;xA8B87F;sea;-1;3715;519;3728;536;;None
xA2B6A3;xEDAEB3;sea;-1;3668;561;3665;573;;None
xDD936A;x9AD78B;sea;-1;3647;591;3647;599;;None
x67C0FA;x6A7A9A;sea;-1;3667;604;3671;614;;None
x6A7A9A;x98E5C8;sea;-1;3727;616;3734;613;;None
x98E5C8;x91D57C;sea;-1;3754;628;3753;636;;None
x71C5D5;x73AAA7;sea;-1;3662;651;3666;642;;None
x87E7DB;x72EDA5;sea;-1;3763;814;3757;809;;None
x9ECE85;x9CE7B7;sea;-1;3892;264;3926;256;;None
x9CE7B7;xD88B71;sea;-1;3936;244;3932;230;;None
x9CE7B7;xC17ECE;sea;-1;3935;256;4006;382;;None
x8AC1AA;x96B2D0;sea;-1;3936;622;3946;607;;None
xD4D7B0;xC17ECE;sea;-1;3974;480;4004;395;;None
xBAB4D5;x69926A;sea;-1;4039;500;4059;434;;None
xE971FB;xCBD798;sea;-1;4034;574;4099;607;;None
xCBD798;xC7ABDA;sea;-1;4096;628;4090;647;;None
xC7ABDA;xB5DF7F;sea;-1;4073;692;4056;691;;None
xBBB583;xC7ABDA;sea;-1;4072;710;4076;700;;None
x9FB1AD;xAD759A;sea;-1;4223;739;4222;757;;None
xAD759A;xA3DCFB;sea;-1;4224;766;4247;766;;None
xA3DCFB;xF5F8B3;sea;-1;4252;765;4284;767;;None
xF5F8B3;xF18B7D;sea;-1;4293;773;4318;763;;None
xF18B7D;xDBB0EB;sea;-1;4318;770;4327;768;;None
xB9F178;xFEC39B;sea;-1;4320;850;4305;915;;None
xFEC39B;xCAC8EC;sea;-1;4299;947;4289;961;;None
xCAC8EC;x88A47A;sea;-1;4287;982;4297;993;;None
xCAC8EC;x71E2BE;sea;-1;4280;987;4258;994;;None
xCA8DDD;xF585C1;sea;-1;4261;1031;4277;1034;;None
xA1F290;xF2F5A6;sea;-1;4191;1127;4200;1132;;None
xF2F5A6;xEFDBC1;sea;-1;4204;1145;4189;1163;;None
xEFDBC1;xA1F290;sea;-1;4188;1155;4188;1139;;None
xBAC29E;x9BEACE;sea;-1;3965;1251;3940;1251;;None
xCB64EF;xD5A466;sea;-1;3867;1148;3846;1096;;None
xB7A3C7;xE5F4D8;sea;-1;3942;891;3937;916;;None
xE5F4D8;xE7EAD8;sea;-1;3931;933;3942;935;;None
xCE686D;xF8EE89;sea;-1;3995;890;4013;897;;None
xF8EE89;x93BD78;sea;-1;4012;934;4042;947;;None
x64E995;xE7C1DD;sea;-1;4070;889;4057;885;;None
xF8A1A0;x64E995;sea;-1;4106;905;4077;915;;None
xC3C9EE;xDFCDAE;sea;-1;4111;877;4120;860;;None
